account.licenseNumber;listing.address.point.lat;listing.address.point.lon;listing.advertiserId;listing.totalAreas
063421-F-RJ;-22.983904;-43.231254;57785a4e-65b0-1cd0-010e-de673a099d96;normalm2
24344-J-SP;-23.608662;-46.72702;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;61m2
00375-J-RJ;-22.952553;-43.195447;f7609504-df80-8ecd-eb53-e41de385ee4a;normalm2
24344-J-SP;-23.455575;-46.669957;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;48m2
27255-J-SP;-23.604224;-46.571544;bae701a2-7cad-8ebc-c72b-42a99259ba82;66m2
24344-J-SP;-23.551025;-46.554597;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;114m2
24344-J-SP;-30.006921;-51.151054;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;104m2
24344-J-SP;-23.598157;-46.68293;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;70m2
24344-J-SP;-23.447427;-46.559357;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;65m2
03011-J-MG;-19.927858;-43.987451;a5e19928-0877-1533-2443-98cdb949a0bd;65m2
00039-J-RS;-29.16262;-51.516117;60b57036-d4d0-69af-3ed8-8242aa165882;65m2
24344-J-SP;-23.540172;-46.565211;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;73m2
03632-J-PR;-23.425267;-51.946808;59f80ebc-611b-1277-5091-ee8fbc41b2ac;246m2
